Company,items,industry,description
교보증권,"유가증권 매매,중개,대리,인수",금융 지원 서비스업,"기업개요
교보생명보험계열의 증권사로서 1949년에 설립되어 유가증권의 매매, 중개, 대리, 인수 등을 주요 영업목적으로 하고 있음.
당분기말 현재 본점 영업부 포함 27개의 지점을 두고 있으며, 계열회사로 모회사인 교보생명보험과 교보문고, 교보악사자산운용, 교보정보통신 등이 있음.
IB 및 WM, Dealing(OTC/채권 등), 브로커리지 등 다변화된 수익구조를 구축함. 2020년 6월 유상증자(3자배정) 2,000억원 실시함.
출처 : 에프앤가이드"
동양생명,생명보험,보험업,"기업개요
동사는 1989년 ‘동양베네피트생명’으로 설립된 후, 외국인 지분 정리에 따라 상호를 동양생명보험으로 변경하였고, 현재는 다자보험그룹의 계열사임.
2023년 3월말 기준, 20개의 본부(사업단)와 68개의 지점조직을 운영하며 인보험 등을 주력으로 함.
2021년 12월 보험대리 및 중개업을 주요사업으로 하는 자회사 마이엔젤금융서비스를 설립하여, TM영업 강점을 활용한 독립법인보험대리점(GA) 시장진출을 추진하고 있음.
출처 : 에프앤가이드"
신한지주,금융지주회사,기타 금융업,"기업개요
동사는 신한금융 계열사에 대한 지배/경영관리, 종속회사에 대한 자금지원 등을 주요 사업목적으로 하는 금융지주회사임.
종속회사의 주요 사업부문은 은행업, 신용카드업, 금융투자업, 생명보험업, 자산운용업, 여신전문업, 저축은행업 등이 있음.
신한은행 외에도 전반적으로 우수한 자회사 사업 지위를 토대로 한 균형 있는 사업포트폴리오 기반의 안정적인 이익창출력 유지 중임. 21년 1월 신한자산운용을 완전자회사로 편입함.
출처 : 에프앤가이드"
카카오뱅크,은행 및 금융서비스,은행 및 저축기관,"기업개요
동사는 2017년 4월 '은행법'에 근거하여 은행업 본인가를 취득하였으며, 당해 7월부터 모바일 앱 기반의 사업을 영위함.
100% 모바일 기반의 혁신적인 UX, 유저 중심의 상품 및 혜택, IT 기술의 적극적인 활용 등의 강점을 기반으로 소비자의 효용과 편의성을 개선시키면서 금융산업의 혁신을 주도하는 플랫폼으로 성장.
모바일 앱 기반의 디지털 플랫폼 사업자로서 금융업 뿐 아니라 비금융업 전반에 걸친 여러 파트너사들과 제휴.
출처 : 에프앤가이드"
한국금융지주,금융지주회사,기타 금융업,"기업개요
2003년 1월 설립되었으며, 금융투자, 자산운용, 저축은행, 벤처/PEF투자, 여신전문업, 헤지펀드 운용 등 금융업 전반의 영역에서 상품과 서비스를 제공하고 있음.
한국투자증권, 한국투자저축은행, 한국투자캐피탈, 한국투자부동산, 한국투자프라이빗에쿼티, 한국투자신탁운용 등 투자금융계열사들을 자회사로 두고 있음.
2019년 11월 자회사인 한국카카오은행 지분 일부를 카카오에 매각하였으며, 이로써 비은행금융지주회사로 전환됨.
출처 : 에프앤가이드"
흥국화재,손해보험,보험업,"기업개요
1948년 고려화재해상보험주식회사로 설립되어, 2006년 태광그룹에 편입. 2009년 현재의 흥국화재해상보험주식회사로 변경함.
업계 대비하여 장기보험의 비중이 높은 구조를 가지고 있으며, 설계사 조직의 정착률은 업계 평균대비 지속적으로 양호한 수치를 기록하고 있음.
챗봇서비스, KSQI 우수콜센터 인증, 웹접근성 인증, RPA 도입 등 고객의 서비스 만족도 및 업무효율을 높이기 위해 지속적으로 노력하고 있음.
출처 : 에프앤가이드"
CNH,투자자문,기타 금융업,"기업개요
동사는 타회사의 주식취득을 통해 실질적인 지배권을 취득하는 것을 목적으로 하는 '지주사업' 및 기타 유가증권 취득 등의 '투자업무'를 주된 사업으로 영위하고 있음.
1989년 8월 여신전문금융업을 영위하기 위하여 설립되었으며, 1994년 9월 코스닥 시장에 등록함. 2009년 9월 여신전문금융업 부문의 물적분할을 통해 ""씨앤에이치""로 사명을 변경함.
당분기말 현재 씨앤에이치하스피탤러티 등 8개 연결대상 종속회사를 보유하고 있음.
출처 : 에프앤가이드"
메이슨캐피탈,리스수입,기타 금융업,"기업개요
동사는 자금대출, 팩토링금융 등 부수업무 포함한 시설대여업(리스), 신기술사업금융, 할부금융업, 여신성 금융업, 기타투자업 등을 영위 중임.
기존 저마진 리스영업 위주 사업구조에서 탈피하여 고수익을 실현할 수 있는 새로운 영업시장을 발굴해나가고 있음.
미얀마에 현지법인을 설립하여 소액대출사업을 시작함. 2020년 1월 22일 정식인가를 취득함으로써 신규 사업 기회를 마련했음.
출처 : 에프앤가이드"
미래에셋벤처투자,중소기업 창업투자 관련 고유계정/투자조합 관련 수익,기타 금융업,"기업개요
동사는 소기업창업투자회사로서 중소기업창업투자조합 등 조합 결성을 통한 창업자 및 중소벤처기업 투자를 주력 사업으로 영위하고 있는 벤처캐피탈(Venture Capital, VC)임.
동사는 설립 이래 총 51개의 VC투자조합(VCF) 및 6개의 기관전용 사모집합투자기구(PEF)에 약 19,473억원(VCF 14,170억원 / PEF 5,303억원)의 재원을 누적 결성함.
지속 가능한 '투자-회수-재투자'로 이어지는 선순환구조 달성.
출처 : 에프앤가이드"
코리아에셋투자증권,"IB금융자문, 채권인수 및 매매, 투자중개, 펀드운용 등",금융 지원 서비스업,"기업개요
동사는 2000년 1월 6일 증권업을 영위할 목적으로 코리아RB증권중개로 설립되었으며, 2013년 지금의 최대주주인 케이엔케이드림파트너스가 경영권을 인수하고 사명을 현재의 코리아에셋투자증권으로 변경함.
2020년 12월에 더케이파트너스유한회사로 최대주주(지분율45.68%) 변경됨.
중소기업 중심의 IB(금융자문)와 채권 매매 및 인수가 주력이며, 그 외 신성장동력으로 헤지펀드와 신기술사업투자조합 등을 제시하고 있음.
출처 : 에프앤가이드"
DGB금융지주,지주회사,기타 금융업,"기업개요
2011년 5월 대구은행, 대구신용정보, 카드넷을 공동으로 주식의 포괄적 이전 방식에 의해 설립된 DGB금융그룹의 지주회사임.
주요 사업은 은행업(대구은행), 증권업(하이투자증권), 생명보험업(DGB생명보험), 여신전문금융업(DGB캐피탈), 자산운용업(하이자산운용) 등이 있음.
2015년 1월 DGB생명보험의 지분을 98.9% 인수하였으며, 종합적인 자산관리서비스를 제공하기 위해 2018년 10월 하이투자증권을 자회사로 편입함.
출처 : 에프앤가이드"
메리츠금융지주,투자사업,기타 금융업,"기업개요
2011년 3월 메리츠화재해상보험에서 인적 분할하여 설립된 국내 최초의 유일한 보험지주회사임.
동사는 독자적인 사업을 영위하지 않는 순수지주회사이며, 주요 종속회사로 메리츠화재해상보험, 메리츠증권, 메리츠자산운용, 메리츠대체투자운용 등이 있음.
22년 11월, 효율적인 자본배분을 위해 메리츠화재와 메리츠증권을 지분율 100%의 완전 자회사로 편입하고, 순이익의 50%에 달하는 주주환원 정책을 발표함.
출처 : 에프앤가이드"
미래에셋생명,생명보험상품,보험업,"기업개요
동사는 2005년 미래에셋그룹에서 인수한 생명보험사로, 보험상품을 통한 노후준비 및 은퇴설계 서비스를 제공함.
고수익 보장성 판매 증대와 변액 및 퇴직연금의 Fee-Biz를 통한 장기 안정적 수익구조를 확보하는 2-Track 전략을 지속적으로 추진하고 있음.
그룹의 뛰어난 자산운용 능력과 전세계 네트워크를 보유하고 있어, 글로벌 자산배분을 통한 다양한 해외투자의 기회를 활용하여 고객의 노후를 위한 자산관리를 제공하고 있음.
출처 : 에프앤가이드"
삼성증권,"유가증권의 매매,위탁매매,인수주선",금융 지원 서비스업,"기업개요
1982년 국제증권으로 설립된 동사는 1992년 삼성그룹에 편입되면서 사명을 삼성증권으로 변경함.
차별화된 부유층 고객기반, 업계 최고의 자산관리 역량과 인프라를 바탕으로 고객 니즈에 적합한 맞춤형 상품 및 서비스를 선제적으로 제공하는 등 업계 선도사의 위상을 유지하고 있음.
당분기말 기준 본점 외 28개 국내지점, 1개 국내영업소, 2개 해외사무소(동경, 북경)가 있으며, 삼성선물 및 해외법인 등의 종속기업이 있음.
출처 : 에프앤가이드"
삼성카드,"신용카드업,상품신용판매,현금서비스,카드론,리스,기업대출,여행업무,통신판매",기타 금융업,"기업개요
동사는 1983년 설립된 이후 여신전문금융업을 영위하고 있으며 주력사업은 카드사업부문, 할부리스사업부문 및 기타부문으로 구성되어 있음.
동사는 마케팅 및 영업기획 조직과 지역거점을 토대로 카드상품개발, 회원유치, 회원 및 가맹점 연계 마케팅 등 영업 활동을 수행하고 있음.
동사는 신용카드에서 현재 약 1,175만의 개인 및 법인 회원과 277만개의 가맹점을 기반으로 차별화된 마케팅과 창의적인 상품 및 서비스를 출시하였음.
출처 : 에프앤가이드"
유화증권,증권업,금융 지원 서비스업,"기업개요
1962년에 설립된 동사는 자본시장법에 따라 사업을 영위하는 금융투자회사로서 투자매매업, 투자중개업, 투자일임업을 주요 사업으로 영위하고 있음.
기업금융부문 등 틈새시장 진입으로 추가 수익확보 노력과 법인 및 소매영업부분에서는 판관비를 커버할 정도로 수익창출 역량 강화에 집중함.
2014년까지 대부분의 지점을 폐쇄하고 현재는 서울 지역에 본점과 센터, 지점을 각각 1개씩 두고 영업하고 있음.
출처 : 에프앤가이드"
이스타코,부동산 분양/입시학원 운영,부동산 임대 및 공급업,"기업개요
동사의 사업부문은 주택 및 상가를 신축 및 분양하는 부동산분양사업, 영어어학원을 운영하는 교육사업, 소유부동산 및 미분양 부동산을 일시 임대하는 임대사업 등 크게 세개의 사업부문을 영위함.
동사는 2003년부터 분양 사업 중 미 분양된 동사 소유의 오피스텔, 상가 등을 임대사업에 적극 활용하여 보증금 운용 및 임대료 수입으로 안정된 재무구조를 유지하고 있음.
출처 : 에프앤가이드"
한국자산신탁,"부동산 신탁 서비스, REITs",신탁업 및 집합투자업,"기업개요
동사는 2001년 3월 설립되어, 주요사업은 부동산 신탁업을 영위하고 있음.
수탁 부동산의 개발사업을 수행하기 위한 건설사업, 건축물 유지 및 관리업, 부동산임대업 및 판매업, 기타 부동산의 개발, 관리, 처분과 관련된 일체의 업무를 영위하고 있음.
신규사업으로는 도시재생사업 지출의 선도적 역할을 수행할 수 있는 도시정비사업과 기업형 민간 임대주택사업(뉴스테이)을 추진하고 있음.
출처 : 에프앤가이드"
DB손해보험,"자동차보험,화재보험,해상보험,특종보험,장기보험",보험업,"기업개요
1962년 한국자동차보험공영사로 출발하여 2017년 DB손해보험으로 사명을 변경함. 주요 종속회사로 DB생명보험, DB캐피탈이 있음.
업무 효율과 전문성 제고를 위해, 보상 및 대고객 서비스 3개 기능을 분사하여 DB CAS손해사정, DB CSI손해사정, DB CNS 자동차손해사정을 자회사로 출범.
글로벌 초우량 보험사로 발돋움하기 위하여 미국을 해외 거점시장으로 집중 공략하고 중국, 인도네시아, 미얀마 등지에 사무소를 개설함.
출처 : 에프앤가이드"
NH투자증권,"증권업,종합금융",금융 지원 서비스업,"기업개요
2014년 12월 우리투자증권과 NH농협증권의 합병으로 탄생한 증권사. 투자매매, 투자중개, 투자자문, 신탁 등을 주요 사업으로 영위함.
IB 부문의 높은 경쟁력을 보유하고 있으며, 금융지주 내 타 계열사와의 시너지를 활용할 수 있다는 강점을 보유함.
해외사업에서는 업계 최고 수준의 네트워크(현지법인 7개, 사무소 2개)를 보유하고 있으며, 글로벌 비즈니스 플랫폼 구축을 목표로 해외상품소싱과 新시장 영업기반 확대를 추진하고 있음.
출처 : 에프앤가이드"
SK증권,"증권업,부동산 임대",금융 지원 서비스업,"기업개요
1955년 신우증권으로 설립, 1998년 현 상호로 변경되었음. 현재 동사의 최대주주는 제이앤더블유비아이지유한회사(지분율 19.6%)임.
당분기말 본점 영업부를 포함한 25개 지점이 있으며, 종속기업은 SK증권(홍콩), SKS프라이빗에쿼티, 트리니티자산운용, 피티알자산운용, MS상호저축은행 등이 있음.
동사의 영업부문은 위탁매매부문, 투자금융과 관계된 종합금융서비스인 IB부문, 자기매매부문, 기타 사업부문으로 구성됨.
출처 : 에프앤가이드"
유안타증권,"유가증권 매매,중개,대리,인수",금융 지원 서비스업,"기업개요
동사는 대만, 홍콩, 중국 등에서 증권, 은행, 벤쳐캐피탈 등의 금융업을 영위하는 대만 유안타그룹에 속한 계열 증권회사임.
2014년 유안타그룹이 동양증권을 인수하면서 사명을 변경함. 당분기말 현재 56개 지점과 2개의 해외 현지법인을 운영하고 있으며, 종속회사는 유안타인베스트먼트 등이 있음.
유안타금융그룹의 범중화권 네트워크를 활용하여 차별화된 리서치 정보와 다양한 금융상품 개발을 통해 고객 니즈를 충족시키고자 노력하고 있음.
출처 : 에프앤가이드"
제주은행,"은행업무,외국환업무,신탁업무",은행 및 저축기관,"기업개요
1969년 지역경제의 균형발전과 활성화라는 제주도민들의 여망 실현을 위해 설립되어, 지금까지 제주지역 경제에서 중추적 역할을 담당해 오고 있는 지방은행임.
대출 업무 외에 카드업무, 환업무, 방카슈랑스, 수익증권 판매, 유가증권 운용, 신탁 업무 등 광범위한 금융 업무를 주요사업으로 영위하고 있음.
제주도내 24개 지점, 5개 출장소, 서울ㆍ부산 지역에 각각 1개 지점으로 총 31개의 영업망을 구축하고 있음.
출처 : 에프앤가이드"
한양증권,증권업,금융 지원 서비스업,"기업개요
1956년 3월에 설립되어 1988년에 3월에 상장된 중소형 증권사로 서울 소재의 본점(영업부포함)과 수도권에 3개의 지점을 두고 있음.
한양학원 산하 증권사로 당분기말 한양학원 및 특수관계인(백남관광, 에이치비디씨 등)이 최대주주이며, 보통주 41.07% 를 보유하고 있음.
동사의 영업부문은 위탁영업부문, 자기매매부문, 기업금융부문과 기타부문 (집합투자증권 판매 및 기타업무) 4가지로 구성되어 있음.
출처 : 에프앤가이드"
한화투자증권,"유가증권 위탁매매,자기매매,인수주선",금융 지원 서비스업,"기업개요
동사는 매매, 위탁매매, 집합투자업, 투자자문/일임업, 신탁업 등을 영위하고 있으며, 현재 한화자산운용이 최대주주(지분율 46.08%)임.
당분기말 현재 본점 이외에 42개 지점이 있으며, 종속회사로 PineTree증권(베트남/싱가포르), ZHARYK ZHOL(카자흐스탄,부동산투자) 등이 있음.
2019년 7월 1천억원 규모의 3자배정 유상증자 실시하였으며, 이를 통해 자기자본 규모 1조원 이상의 중대형사가 되었음.
출처 : 에프앤가이드"
DSC인베스트먼트,투자조합 결성 및 투자,신탁업 및 집합투자업,"기업개요
2012년 1월 설립된 동사는 중소·벤처기업에 대한 투자금융을 제공하는 벤처캐피탈 회사임.
투자조합 등의 결성을 통해 업무집행조합원으로서 운영 및 관리를 담당하고 있으며, 조합자금의 투자집행을 통해 중소·벤처기업 투자를 주력으로 하고 있음.
당분기말 현재 동사가 운영중인 투자조합은 총 20개로 운영자산(AUM) 기준 1조 617억원을 기록하고 있음. 연결대상 자회사로는 슈미트(창업 엑셀러레이팅)과 똑똑(정보시스템 구축)이 있음.
출처 : 에프앤가이드"
TS인베스트먼트,투자조합 결성 및 투자,신탁업 및 집합투자업,"기업개요
2008년 설립된 중소기업창업투자회사로서 창업자 및 벤처기업에 대한 투자, 창업투자조합 결성 및 운용을 주요사업으로 영위함.
구조조정전문회사에서 창업투자회사로 전환 후 지속적으로 중소벤처 M＆A펀드를 결성, 운용하며 전문성을 확보함. 2019년 4월 스타트업 전문 투자회사인 뉴패러다임인베스트먼트를 인수함.
당분기말 현재 동사와 종속회사가 운용 중인 투자조합은 17개임. 동사의 누적 투자조합 결성 실적은 총 13개 9,542억원임.
출처 : 에프앤가이드"
글로벌텍스프리,환급창구운영사업,금융 지원 서비스업,"기업개요
2005년 설립된 아시아 최초의 세금환급(Tax Refund) 대행사업자임. 정부의 관광객 유치 확대를 목적으로 시행된 사후면세점에서 물품을 구입한 외국인 관광객에게 내국세 환급을 대행해 주는 사업을 했음.
2020년과 2021년 화장품 업체 스와니코코 지분을 인수함.
매출은 Tax Refund 사업 부문 61.96%, 화장품 부문 6.26%, IT 솔루션 부문 31.78%로 구성됨.
출처 : 에프앤가이드"
리더스 기술투자,금융투자,신탁업 및 집합투자업,"기업개요
동사는 1986년에 설립되어 현재 신기술사업에 대한 투자 등을 주된 사업으로 영위하고 있으며, 1989년 코스닥증권시장에 상장한 주권상장법인임.
2019년 회사의 경영목적 및 전략에 따라 적합한 '제미니투자 주식회사'에서 '주식회사 리더스기술투자'로 상호 변경함.
신기술사업자에 대한 투자는 주식인수, 전환사채 인수, 투자조합 출자 및 관리, 특정 프로젝트 투자, 기투자한 벤처기업 또는 중소기업에 자금 지원 등의 형태로 진행 중임.
출처 : 에프앤가이드"
린드먼아시아,"투자조합, PEF 결성 및 투자",신탁업 및 집합투자업,"기업개요
2006년 설립된 동사는 주로 국내와 중국 중소기업에 투자하는 벤처캐피탈로, 국내기업의 중국 진출과 중국기업의 국내 진출을 지원해줌.
확장단계에 있는 기업에 투자하여 해외진출 및 사업확장 목적의 투자를 통해 기업을 지원하는 역할을 하고 있어 안정적이고 지속적인 수익을 창출할 수 있는 포트폴리오를 운영함.
동사가 운영중인 투자조합 및 경영참여형사모집합투자기구(PEF)는 총 8개로 운영자산(AUM)기준 8,178억원을 기록하고 있음.
출처 : 에프앤가이드"
컴퍼니케이,중소 벤처기업 투자,기타 금융업,"기업개요
동사는 중소·벤처기업에 대한 투자금융을 제공하는 벤처캐피탈(VC)로 벤처투자조합 등 조합결성을 통한 창업초기 기업 투자를 주력 사업으로 영위.
사업구조는 크게 펀드조성(자금모집), 투자 및 관리, 투자회수로 이어지는 단계로 이루어져 있으며, 추가로 투자재산의 분배 및 해산으로 구성.
동사의 직접적인 경쟁업체는 개인, 일반법인, 금융기관(은행, 증권, 연기금 등) 등.
출처 : 에프앤가이드"
삼성생명,"생명보험,부동산 임대",보험업,"기업개요
1957년에 설립되어 업계 최대의 전속 설계사 조직과 계리 전문인력을 보유하고 있는 삼성그룹 계열의 생명보험사.
보장성 및 연금/저축성 보험상품 서비스 제공을 주요 사업으로 하며, 압도적인 브랜드 파워와 안정적인 영업 기반을 바탕으로 업계 최상위 시장 지위를 유지하고 있음.
연결대상 주요 종속회사로 삼성카드, 삼성자산운용, 삼성생명 태국법인, 북경삼성치업유한공사, 삼성SRA자산운용 등이 있음.
출처 : 에프앤가이드"
신영증권,증권업,금융 지원 서비스업,"기업개요
동사는 1956년 설립되어 증권, 장내외 파생상품 등의 투자매매업 및 투자중개업, 신탁업, 투자자문업, 투자일임업 등을 영위하고 있으며, 현재 본점 포함 9개 지점을 운영하고 있음.
종속기업으로는 신영자산운용과 2019년 10월에 본인가를 취득한 신영부동산신탁 등이 있음.
다변화된 수익 구조와 체계적인 리스크 관리, 선제적 시장 대응 능력 등을 통해 안정적인 수익모델을 공고히 하고, 차별화된 경쟁력 확보에 힘쓰고 있음.
출처 : 에프앤가이드"
코리안리,금융보험/부동산 임대,재 보험업,"기업개요
국내 유일의 전업 재보험사로, 국내를 비롯하여 전세계에 걸친 폭넓은 해외 네트워크를 구축하며 글로벌 재보험사로써 세계 시장에서의 입지를 강화해가고 있음.
주요 사업으로 손해보험 재보험의 출수재 업무, 생명보험 재보험의 출수재 업무, 해외 보험 업무 등을 영위하고 있음.
국내 재보험 시장에서 50% 이상의 시장점유율을 유지하고 있음. 국제신용평가기관으로부터 신용등급 A(stable) 유지 중.
출처 : 에프앤가이드"
한국토지신탁,부동산신탁 등,신탁업 및 집합투자업,"기업개요
동사는 토지신탁사업 외에 담보신탁, 관리신탁, 처분신탁, 분양관리신탁, 대리사무 등의 비토지신탁사업 그리고 도시정비사업, REITs, 투자사업, 해외사업 등을 수행하고 있음.
최대주주는 엠케이인베스트먼트(주)이며 최대주주의 계열회사로는 엠케이전자(주), (주)오션비홀딩스 등이 있음.
동사는 창사 이래 가장 많은 차입형 토지신탁 사업을 수주/관리하여 차입형 토지신탁의 수주부터 사업정산시까지 매니지먼트 노하우가 뛰어난 회사임.
출처 : 에프앤가이드"
LB인베스트먼트,중소기업 창업투자,기타 금융업,"기업개요
동사는 1996년 7월 4일 LG창업투자로 출범하였으며, 2000년 LG그룹으로부터 독립하여 계열 분리를 하고, 2008년에는 현재 사명인 LB인베스트먼트로 개명함.
중소벤처기업에 대한 투자금융을 제공하는 벤처캐피탈(Venture Capital, VC) 사업을 영위하고 있음.
동사의 사업구조는 크게 펀드조성(자금모집), 투자 및 관리, 투자회수로 이어지는 단계로 이루어져 있으며, 추가로 투자재산의 분배 및 해산으로 나눌 수 있음.
출처 : 에프앤가이드"
SV인베스트먼트,중소/벤처기업 투자 및 육성,기타 금융업,"기업개요
중소기업창업투자회사로서 조합 결성을 통한 창업자 및 중소벤처기업 투자를 주력 사업으로 영위하고 있음. 미국과 싱카포르 등에 5개의 투자관리 종속회사를 둠.
2006년 4월 설립된 이래 VC투자조합 및 경영참여형 사모집합투자기구(PEF) 등으로 약 13,991억원(해외 2,527억원, 국내 11,464억원)의 재원을 누적 결성함.
바이오/헬스케어, 문화콘텐츠, Secondary등 다양한 분야에서 벤처캐피탈로서의 경쟁력을 인정받음.
출처 : 에프앤가이드"
상상인,IT 통합 솔루션,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","기업개요
동사는 1989년 설립되었으며 정보통신, 금융, 조선, 전산프로그램 개발 사업을 영위함.
정보통신 사업 부문은 네트워크 설계, 장비공급 및 설치, 유지보수 등을 함. 금융 사업 부문은 저축은행업 및 금융투자업이 주사업이며 조선 부문은 선박 건조나 수리에 사용되는 설비와 기자재를 제조, 판매함.
전산 프로그램 개발 및 운용 사업 부문은 네트워크 구축 및 담보 관리에 필요한 프로그램을 개발, 운용, 판매함.
출처 : 에프앤가이드"
대신증권,"유가증권 위탁매매,인수주선,자기매매 기타 금융서비스",금융 지원 서비스업,"기업개요
금융투자업을 주요 사업으로 영위하고 있으며, 연결대상 종속회사는 대신에프앤아이, 대신저축은행, 대신자산운용, 대신경제연구소, 대신프라이빗에쿼티, 대신자산신탁, 싱가포르,미국,일본 현지 법인 등이 있음.
영업전략의 다변화를 통해 자산관리 컨설팅 강화, 해외업무 확대, 부동산 및 PF 구조화증권 관련 IB 업무 등을 강화하고 있음.
2019년 5월 부동산신탁회사인 대신자산신탁, 2020년 5월 동경현지법인 설립하였음.
출처 : 에프앤가이드"
